Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhood  District,Location,RowID
163661454,E11,16146721,Medical Incident,12/31/2016,12/31/2016,12/31/2016 12:16:45 PM,12/31/2016 12:16:45 PM,12/31/2016 12:17:06 PM,12/31/2016 12:18:17 PM,12/31/2016 12:20:30 PM,,,Patient Declined Transport,12/31/2016 12:25:15 PM,2700 Block of MISSION ST,San Francisco,94110,B06,11,5525,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,6,9,Mission,"(37.7530420707497, -122.418450617982)",163661454-E11
163661454,71,16146721,Medical Incident,12/31/2016,12/31/2016,12/31/2016 12:16:45 PM,12/31/2016 12:16:45 PM,12/31/2016 12:17:06 PM,12/31/2016 12:17:35 PM,12/31/2016 12:20:31 PM,,,Patient Declined Transport,12/31/2016 01:08:25 PM,2700 Block of MISSION ST,San Francisco,94110,B06,11,5525,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,6,9,Mission,"(37.7530420707497, -122.418450617982)",163661454-71
163661446,60,16146720,Medical Incident,12/31/2016,12/31/2016,12/31/2016 12:14:06 PM,12/31/2016 12:14:06 PM,12/31/2016 12:15:51 PM,12/31/2016 12:16:05 PM,,12/31/2016 01:21:11 PM,12/31/2016 01:40:37 PM,Code 2 Transport,12/31/2016 02:33:03 PM,0 Block of SEARS ST,San Francisco,94112,B09,33,8354,2,2,2,true,Non Life-threatening,1,MEDIC,1,9,11,Outer Mission,"(37.7102439890666, -122.453257010447)",163661446-60
163661445,E17,16146719,Medical Incident,12/31/2016,12/31/2016,12/31/2016 12:10:59 PM,12/31/2016 12:13:52 PM,12/31/2016 12:14:03 PM,12/31/2016 12:14:43 PM,12/31/2016 12:17:44 PM,,,Code 2 Transport,12/31/2016 12:26:33 PM,1100 Block of HOLLISTER AVE,San Francisco,94124,B10,17,6612,2,2,2,true,Potentially Life-Threatening,1,ENGINE,1,10,10,Bayview Hunters Point,"(37.7203155021552, -122.393313394241)",163661445-E17
163661445,56,16146719,Medical Incident,12/31/2016,12/31/2016,12/31/2016 12:10:59 PM,12/31/2016 12:13:52 PM,12/31/2016 12:14:03 PM,12/31/2016 12:15:05 PM,12/31/2016 12:22:49 PM,12/31/2016 12:27:45 PM,12/31/2016 12:49:47 PM,Code 2 Transport,12/31/2016 01:30:11 PM,1100 Block of HOLLISTER AVE,San Francisco,94124,B10,17,6612,2,2,2,true,Potentially Life-Threatening,1,MEDIC,2,10,10,Bayview Hunters Point,"(37.7203155021552, -122.393313394241)",163661445-56
163661438,KM01,16146718,Medical Incident,12/31/2016,12/31/2016,12/31/2016 12:09:43 PM,12/31/2016 12:10:35 PM,12/31/2016 12:10:53 PM,12/31/2016 12:11:26 PM,12/31/2016 12:16:33 PM,12/31/2016 12:45:57 PM,12/31/2016 12:57:40 PM,Code 2 Transport,12/31/2016 01:21:11 PM,CALL BOX:,,94109,B04,28,3143,2,2,2,false,Non Life-threatening,1,PRIVATE,2,1,2,Russian Hill,"(37.8051136614892, -122.425238538039)",163661438-KM01
163661438,E28,16146718,Medical Incident,12/31/2016,12/31/2016,12/31/2016 12:09:43 PM,12/31/2016 12:10:35 PM,12/31/2016 12:10:53 PM,12/31/2016 12:13:23 PM,12/31/2016 12:13:49 PM,,,Code 2 Transport,12/31/2016 12:26:30 PM,CALL BOX:,,94109,B04,28,3143,2,2,2,true,Non Life-threatening,1,ENGINE,1,1,2,Russian Hill,"(37.8051136614892, -122.425238538039)",163661438-E28
163661431,KM12,16146716,Medical Incident,12/31/2016,12/31/2016,12/31/2016 12:06:04 PM,12/31/2016 12:09:21 PM,12/31/2016 12:09:40 PM,12/31/2016 12:10:25 PM,12/31/2016 12:19:26 PM,,,Against Medical Advice,12/31/2016 01:23:35 PM,1000 Block of GRANT AVE,San Francisco,94133,B01,02,1312,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,1,1,3,Chinatown,"(37.7964719317706, -122.406671651182)",163661431-KM12
163661381,64,16146715,Other,12/31/2016,12/31/2016,12/31/2016 11:54:33 AM,12/31/2016 11:54:33 AM,12/31/2016 11:55:04 AM,12/31/2016 11:55:14 AM,,,,Cancelled,12/31/2016 12:04:42 PM,1200 Block of YORK ST,San Francisco,94110,B06,09,5531,2,2,2,true,Non Life-threatening,1,MEDIC,1,6,9,Mission,"(37.7520504578604, -122.408181888067)",163661381-64
163663729,50,16146957,Medical Incident,12/31/2016,12/31/2016,12/31/2016 10:45:15 PM,12/31/2016 10:45:15 PM,12/31/2016 10:45:39 PM,12/31/2016 10:46:40 PM,12/31/2016 10:48:06 PM,12/31/2016 10:59:01 PM,12/31/2016 11:00:23 PM,Code 2 Transport,12/31/2016 11:25:31 PM,CALIFORNIA ST/HYDE ST,San Francisco,94109,B01,41,1541,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,4,3,Nob Hill,"(37.7909731905551, -122.41739133715)",163663729-50
163663714,KM04,16146956,Medical Incident,12/31/2016,12/31/2016,12/31/2016 10:40:23 PM,12/31/2016 10:41:55 PM,12/31/2016 10:43:01 PM,12/31/2016 10:43:51 PM,12/31/2016 10:47:14 PM,12/31/2016 10:58:31 PM,12/31/2016 11:12:24 PM,Code 2 Transport,12/31/2016 11:37:12 PM,1600 Block of FUNSTON AV,San Francisco,94122,B08,22,7351,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,8,7,Inner Sunset,"(37.7569587054618, -122.470044126619)",163663714-KM04
163663714,E22,16146956,Medical Incident,12/31/2016,12/31/2016,12/31/2016 10:40:23 PM,12/31/2016 10:41:55 PM,12/31/2016 10:43:01 PM,12/31/2016 10:44:33 PM,12/31/2016 10:46:57 PM,,,Code 2 Transport,12/31/2016 11:03:43 PM,1600 Block of FUNSTON AV,San Francisco,94122,B08,22,7351,3,3,3,false,Potentially Life-Threatening,1,ENGINE,1,8,7,Inner Sunset,"(37.7569587054618, -122.470044126619)",163663714-E22
163663714,E20,16146956,Medical Incident,12/31/2016,12/31/2016,12/31/2016 10:40:23 PM,12/31/2016 10:41:55 PM,12/31/2016 10:43:01 PM,,,,,Code 2 Transport,12/31/2016 10:44:44 PM,1600 Block of FUNSTON AV,San Francisco,94122,B08,22,7351,3,3,3,true,Potentially Life-Threatening,1,ENGINE,3,8,7,Inner Sunset,"(37.7569587054618, -122.470044126619)",163663714-E20
163663713,E11,16146955,Medical Incident,12/31/2016,12/31/2016,12/31/2016 10:38:35 PM,12/31/2016 10:41:14 PM,12/31/2016 10:41:51 PM,12/31/2016 10:43:58 PM,12/31/2016 10:45:10 PM,,,Code 2 Transport,12/31/2016 10:57:21 PM,3100 Block of MISSION ST,San Francisco,94110,B06,11,5624,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,6,9,Bernal Heights,"(37.7464537868984, -122.419251697751)",163663713-E11
163663713,AM137,16146955,Medical Incident,12/31/2016,12/31/2016,12/31/2016 10:38:35 PM,12/31/2016 10:41:14 PM,12/31/2016 10:41:51 PM,12/31/2016 10:42:31 PM,12/31/2016 10:45:43 PM,12/31/2016 11:04:24 PM,12/31/2016 11:39:26 PM,Code 2 Transport,12/31/2016 11:53:00 PM,3100 Block of MISSION ST,San Francisco,94110,B06,11,5624,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,6,9,Bernal Heights,"(37.7464537868984, -122.419251697751)",163663713-AM137
163663713,83,16146955,Medical Incident,12/31/2016,12/31/2016,12/31/2016 10:38:35 PM,12/31/2016 10:41:14 PM,12/31/2016 10:47:02 PM,12/31/2016 10:47:13 PM,,,,Code 2 Transport,12/31/2016 10:52:14 PM,3100 Block of MISSION ST,San Francisco,94110,B06,11,5624,3,3,3,true,Potentially Life-Threatening,1,MEDIC,3,6,9,Bernal Heights,"(37.7464537868984, -122.419251697751)",163663713-83
163663704,KM07,16146954,Medical Incident,12/31/2016,12/31/2016,12/31/2016 10:37:36 PM,12/31/2016 10:39:50 PM,12/31/2016 10:40:06 PM,12/31/2016 10:40:34 PM,12/31/2016 10:52:25 PM,12/31/2016 11:07:36 PM,12/31/2016 11:28:54 PM,Code 2 Transport,12/31/2016 11:58:10 PM,0 Block of DEDMAN CT,San Francisco,94124,B10,25,6522,2,2,2,false,Non Life-threatening,1,PRIVATE,1,10,10,Bayview Hunters Point,"(37.7368469604958, -122.384907106098)",163663704-KM07
163662717,E36,16146844,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:21:39 PM,12/31/2016 06:21:39 PM,12/31/2016 06:22:45 PM,12/31/2016 06:23:34 PM,,,,Code 2 Transport,12/31/2016 06:24:20 PM,16TH ST/MISSION ST,San Francisco,94103,B02,07,5236,3,3,3,true,Potentially Life-Threatening,1,ENGINE,3,2,9,Mission,"(37.7650513381945, -122.419668973861)",163662717-E36
163662717,E07,16146844,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:21:39 PM,12/31/2016 06:21:39 PM,12/31/2016 06:24:27 PM,12/31/2016 06:24:27 PM,12/31/2016 06:25:29 PM,,,Code 2 Transport,12/31/2016 06:33:40 PM,16TH ST/MISSION ST,San Francisco,94103,B02,07,5236,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,2,9,Mission,"(37.7650513381945, -122.419668973861)",163662717-E07
163662717,AM28,16146844,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:21:39 PM,12/31/2016 06:21:39 PM,12/31/2016 06:22:45 PM,12/31/2016 06:23:16 PM,12/31/2016 06:27:59 PM,12/31/2016 06:43:33 PM,12/31/2016 06:53:34 PM,Code 2 Transport,12/31/2016 07:26:21 PM,16TH ST/MISSION ST,San Francisco,94103,B02,07,5236,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,2,9,Mission,"(37.7650513381945, -122.419668973861)",163662717-AM28
163662707,E33,16146843,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:17:19 PM,12/31/2016 06:18:37 PM,12/31/2016 06:19:17 PM,12/31/2016 06:20:03 PM,12/31/2016 06:23:42 PM,,,Patient Declined Transport,12/31/2016 06:37:55 PM,0 Block of THOMAS MORE WAY,San Francisco,94132,B08,33,8773,2,2,2,true,Non Life-threatening,1,ENGINE,1,8,7,Lakeshore,"(37.7122646664235, -122.472932437972)",163662707-E33
163662707,82,16146843,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:17:19 PM,12/31/2016 06:18:37 PM,12/31/2016 06:19:17 PM,12/31/2016 06:19:27 PM,,,,Patient Declined Transport,12/31/2016 06:33:32 PM,0 Block of THOMAS MORE WAY,San Francisco,94132,B08,33,8773,2,2,2,true,Non Life-threatening,1,MEDIC,2,8,7,Lakeshore,"(37.7122646664235, -122.472932437972)",163662707-82
163662695,E07,16146842,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:16:05 PM,12/31/2016 06:16:05 PM,12/31/2016 06:16:31 PM,12/31/2016 06:17:29 PM,12/31/2016 06:19:36 PM,,,Code 2 Transport,12/31/2016 06:24:19 PM,2000 Block of MISSION ST,San Francisco,94110,B02,07,5236,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,2,9,Mission,"(37.7642361189447, -122.419659842408)",163662695-E07
163662695,AM16,16146842,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:16:05 PM,12/31/2016 06:16:05 PM,12/31/2016 06:16:31 PM,12/31/2016 06:17:06 PM,12/31/2016 06:20:08 PM,12/31/2016 06:30:47 PM,12/31/2016 06:45:54 PM,Code 2 Transport,12/31/2016 07:14:31 PM,2000 Block of MISSION ST,San Francisco,94110,B02,07,5236,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,2,9,Mission,"(37.7642361189447, -122.419659842408)",163662695-AM16
163662689,RC4,16146841,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:14:13 PM,12/31/2016 06:14:49 PM,12/31/2016 06:21:23 PM,12/31/2016 06:21:34 PM,12/31/2016 06:27:00 PM,,,Code 3 Transport,12/31/2016 07:33:23 PM,200 Block of BLYTHDALE AVE,San Francisco,94134,B09,43,6243,3,3,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,2,9,10,Visitacion Valley,"(37.7109997161115, -122.420513243692)",163662689-RC4
163662689,E43,16146841,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:14:13 PM,12/31/2016 06:14:49 PM,12/31/2016 06:15:43 PM,12/31/2016 06:17:06 PM,12/31/2016 06:19:24 PM,,,Code 3 Transport,12/31/2016 07:14:41 PM,200 Block of BLYTHDALE AVE,San Francisco,94134,B09,43,6243,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,9,10,Visitacion Valley,"(37.7109997161115, -122.420513243692)",163662689-E43
163662689,76,16146841,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:14:13 PM,12/31/2016 06:14:49 PM,12/31/2016 06:15:43 PM,12/31/2016 06:16:26 PM,12/31/2016 06:49:15 PM,12/31/2016 06:49:17 PM,12/31/2016 07:17:51 PM,Code 3 Transport,12/31/2016 07:48:55 PM,200 Block of BLYTHDALE AVE,San Francisco,94134,B09,43,6243,3,3,3,true,Potentially Life-Threatening,1,MEDIC,3,9,10,Visitacion Valley,"(37.7109997161115, -122.420513243692)",163662689-76
163662684,E36,16146840,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:13:07 PM,12/31/2016 06:13:18 PM,12/31/2016 06:13:44 PM,12/31/2016 06:15:28 PM,12/31/2016 06:17:45 PM,,,Code 2 Transport,12/31/2016 06:19:18 PM,200 Block of 13TH ST,San Francisco,94103,B02,36,5123,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,2,9,Mission,"(37.7697208630457, -122.417949217834)",163662684-E36
163662684,74,16146840,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:13:07 PM,12/31/2016 06:13:18 PM,12/31/2016 06:13:44 PM,12/31/2016 06:13:54 PM,12/31/2016 06:18:16 PM,12/31/2016 06:44:58 PM,12/31/2016 07:04:30 PM,Code 2 Transport,12/31/2016 07:15:52 PM,200 Block of 13TH ST,San Francisco,94103,B02,36,5123,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,2,9,Mission,"(37.7697208630457, -122.417949217834)",163662684-74
163662668,E23,16146838,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:09:02 PM,12/31/2016 06:09:02 PM,12/31/2016 06:09:36 PM,12/31/2016 06:11:44 PM,12/31/2016 06:12:36 PM,,,Code 2 Transport,12/31/2016 06:22:18 PM,46TH AV/JUDAH ST,San Francisco,94122,B08,23,7721,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,8,4,Sunset/Parkside,"(37.7604244274632, -122.505928109422)",163662668-E23
163662668,81,16146838,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:09:02 PM,12/31/2016 06:09:02 PM,12/31/2016 06:09:36 PM,12/31/2016 06:09:42 PM,12/31/2016 06:20:18 PM,12/31/2016 06:51:58 PM,12/31/2016 07:07:56 PM,Code 2 Transport,12/31/2016 07:27:02 PM,46TH AV/JUDAH ST,San Francisco,94122,B08,23,7721,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,8,4,Sunset/Parkside,"(37.7604244274632, -122.505928109422)",163662668-81
163662667,RC1,16146837,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:06:50 PM,12/31/2016 06:09:00 PM,12/31/2016 06:10:10 PM,12/31/2016 06:12:07 PM,,,,Code 2 Transport,12/31/2016 06:20:58 PM,1300 Block of BUSH ST,San Francisco,94109,B04,03,1636,2,2,2,true,Non Life-threatening,1,RESCUE CAPTAIN,3,4,3,Nob Hill,"(37.7888585618181, -122.419492361507)",163662667-RC1
163662667,E03,16146837,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:06:50 PM,12/31/2016 06:09:00 PM,12/31/2016 06:10:10 PM,12/31/2016 06:11:05 PM,12/31/2016 06:12:52 PM,,,Code 2 Transport,12/31/2016 06:20:30 PM,1300 Block of BUSH ST,San Francisco,94109,B04,03,1636,2,2,2,true,Non Life-threatening,1,ENGINE,1,4,3,Nob Hill,"(37.7888585618181, -122.419492361507)",163662667-E03
163662667,52,16146837,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:06:50 PM,12/31/2016 06:09:00 PM,12/31/2016 06:10:10 PM,12/31/2016 06:10:14 PM,12/31/2016 06:14:30 PM,12/31/2016 06:36:26 PM,12/31/2016 06:42:21 PM,Code 2 Transport,12/31/2016 07:12:40 PM,1300 Block of BUSH ST,San Francisco,94109,B04,03,1636,2,2,2,true,Non Life-threatening,1,MEDIC,2,4,3,Nob Hill,"(37.7888585618181, -122.419492361507)",163662667-52
163662661,67,16146836,Medical Incident,12/31/2016,12/31/2016,12/31/2016 06:06:33 PM,12/31/2016 06:07:35 PM,12/31/2016 06:09:12 PM,12/31/2016 06:09:38 PM,12/31/2016 06:26:13 PM,12/31/2016 07:05:41 PM,12/31/2016 07:09:33 PM,Code 2 Transport,12/31/2016 07:50:11 PM,1300 Block of PINE ST,San Francisco,94109,B04,41,1562,2,2,2,true,Non Life-threatening,1,MEDIC,1,4,3,Nob Hill,"(37.7898833513674, -122.418012422783)",163662661-67
163662657,T13,16146835,Alarms,12/31/2016,12/31/2016,12/31/2016 06:05:10 PM,12/31/2016 06:06:13 PM,12/31/2016 06:06:47 PM,12/31/2016 06:08:20 PM,12/31/2016 06:09:20 PM,,,Fire,12/31/2016 06:16:41 PM,0 Block of WENTWORTH PL,San Francisco,94108,B01,13,1245,3,3,3,false,Alarm,1,TRUCK,3,1,3,Chinatown,"(37.7956466770943, -122.40606665952)",163662657-T13
163662657,E13,16146835,Alarms,12/31/2016,12/31/2016,12/31/2016 06:05:10 PM,12/31/2016 06:06:13 PM,12/31/2016 06:06:47 PM,12/31/2016 06:08:30 PM,12/31/2016 06:08:30 PM,,,Fire,12/31/2016 06:16:41 PM,0 Block of WENTWORTH PL,San Francisco,94108,B01,13,1245,3,3,3,true,Alarm,1,ENGINE,1,1,3,Chinatown,"(37.7956466770943, -122.40606665952)",163662657-E13
163661370,KM08,16146714,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:51:26 AM,12/31/2016 11:52:39 AM,12/31/2016 11:53:11 AM,12/31/2016 11:53:41 AM,12/31/2016 12:05:03 PM,12/31/2016 12:27:25 PM,12/31/2016 12:40:48 PM,Code 2 Transport,12/31/2016 01:18:47 PM,2100 Block of POST ST,San Francisco,94115,B04,10,4131,2,2,2,false,Non Life-threatening,1,PRIVATE,1,4,5,Japantown,"(37.7846877609559, -122.437204719428)",163661370-KM08
163661366,54,16146713,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:49:16 AM,12/31/2016 11:51:09 AM,12/31/2016 11:52:02 AM,12/31/2016 11:52:15 AM,12/31/2016 11:59:38 AM,,,Cancelled,12/31/2016 12:09:27 PM,2ND ST/HOWARD ST,San Francisco,94105,B03,01,2146,2,2,2,true,Non Life-threatening,1,MEDIC,1,3,6,Financial District/South Beach,"(37.7867789486792, -122.398256963317)",163661366-54
163661333,T13,16146712,Structure Fire,12/31/2016,12/31/2016,12/31/2016 11:43:41 AM,12/31/2016 11:43:41 AM,12/31/2016 11:43:59 AM,12/31/2016 11:44:46 AM,,,,Fire,12/31/2016 11:45:50 AM,BATTERY ST/CLAY ST,San Francisco,94111,B01,13,1161,3,3,3,false,Alarm,1,TRUCK,2,1,3,Chinatown,"(37.7950131479598, -122.400329335061)",163661333-T13
163661333,E13,16146712,Structure Fire,12/31/2016,12/31/2016,12/31/2016 11:43:41 AM,12/31/2016 11:43:41 AM,12/31/2016 11:43:59 AM,12/31/2016 11:45:09 AM,12/31/2016 11:45:42 AM,,,Fire,12/31/2016 11:45:51 AM,BATTERY ST/CLAY ST,San Francisco,94111,B01,13,1161,3,3,3,true,Alarm,1,ENGINE,1,1,3,Chinatown,"(37.7950131479598, -122.400329335061)",163661333-E13
163661330,KM11,16146711,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:42:25 AM,12/31/2016 11:43:03 AM,12/31/2016 11:43:18 AM,12/31/2016 11:43:54 AM,12/31/2016 11:46:01 AM,,,Against Medical Advice,12/31/2016 12:50:04 PM,2200 Block of MARKET ST,San Francisco,94114,B05,06,5231,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,1,5,8,Castro/Upper Market,"(37.7649516607095, -122.431937558766)",163661330-KM11
163661330,E06,16146711,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:42:25 AM,12/31/2016 11:43:03 AM,12/31/2016 11:43:18 AM,12/31/2016 11:44:02 AM,12/31/2016 11:46:35 AM,,,Against Medical Advice,12/31/2016 11:58:50 AM,2200 Block of MARKET ST,San Francisco,94114,B05,06,5231,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,5,8,Castro/Upper Market,"(37.7649516607095, -122.431937558766)",163661330-E06
163661310,76,16146709,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:38:12 AM,12/31/2016 11:38:12 AM,12/31/2016 11:39:22 AM,12/31/2016 11:39:36 AM,12/31/2016 11:48:52 AM,12/31/2016 12:17:49 PM,12/31/2016 12:41:45 PM,Code 2 Transport,12/31/2016 01:22:44 PM,HAIGHT ST/SHRADER ST,San Francisco,94117,B05,12,4545,2,2,2,true,Non Life-threatening,1,MEDIC,1,5,5,Haight Ashbury,"(37.7693786636844, -122.451865726136)",163661310-76
163661283,E08,16146708,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:32:40 AM,12/31/2016 11:33:15 AM,12/31/2016 11:33:59 AM,12/31/2016 11:34:14 AM,,,,Cancelled,12/31/2016 11:36:18 AM,500 Block of 5TH ST,San Francisco,94107,B03,08,2242,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,3,6,South of Market,"(37.7776242389287, -122.39998111124)",163661283-E08
163661283,52,16146708,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:32:40 AM,12/31/2016 11:33:15 AM,12/31/2016 11:33:59 AM,12/31/2016 11:34:10 AM,,,,Cancelled,12/31/2016 11:35:59 AM,500 Block of 5TH ST,San Francisco,94107,B03,08,2242,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,3,6,South of Market,"(37.7776242389287, -122.39998111124)",163661283-52
163661268,E03,16146707,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:26:15 AM,12/31/2016 11:28:47 AM,12/31/2016 11:29:03 AM,12/31/2016 11:29:13 AM,12/31/2016 11:32:46 AM,,,Gone on Arrival,12/31/2016 11:34:55 AM,GEARY ST/POLK ST,San Francisco,94109,B04,03,3116,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,4,6,Tenderloin,"(37.7858929010786, -122.419738734781)",163661268-E03
163661268,79,16146707,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:26:15 AM,12/31/2016 11:28:47 AM,12/31/2016 11:29:03 AM,12/31/2016 11:30:00 AM,12/31/2016 11:32:54 AM,,,Gone on Arrival,12/31/2016 11:34:53 AM,GEARY ST/POLK ST,San Francisco,94109,B04,03,3116,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,4,6,Tenderloin,"(37.7858929010786, -122.419738734781)",163661268-79
163661259,81,16146706,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:21:54 AM,12/31/2016 11:25:35 AM,12/31/2016 11:26:32 AM,12/31/2016 11:26:54 AM,12/31/2016 11:29:10 AM,,,No Merit,12/31/2016 11:34:21 AM,SAN JOSE AV/29TH ST,San Francisco,94110,B06,11,5577,2,2,2,true,Non Life-threatening,1,MEDIC,1,6,8,Noe Valley,"(37.7439422420021, -122.422669446432)",163661259-81
163661231,KM04,16146705,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:13:21 AM,12/31/2016 11:13:21 AM,12/31/2016 11:13:32 AM,12/31/2016 11:14:08 AM,,,,Other,12/31/2016 11:22:28 AM,1300 Block of 39TH AV,San Francisco,94122,B08,23,7626,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,8,4,Sunset/Parkside,"(37.7616832991481, -122.498558977925)",163661231-KM04
163661231,E23,16146705,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:13:21 AM,12/31/2016 11:13:21 AM,12/31/2016 11:13:32 AM,12/31/2016 11:15:46 AM,12/31/2016 11:18:49 AM,,,Other,12/31/2016 11:21:38 AM,1300 Block of 39TH AV,San Francisco,94122,B08,23,7626,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,8,4,Sunset/Parkside,"(37.7616832991481, -122.498558977925)",163661231-E23
163661226,RC3,16146704,Medical Incident,12/31/2016,12/31/2016,12/31/2016 11:09:37 AM,12/31/2016 11:11:34 AM,12/31/2016 11:11:51 AM,,,,,Code 2 Transport,12/31/2016 11:16:05 AM,ERIE ST/SOUTH VAN NESS AV,San Francisco,94103,B02,36,5215,E,E,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,3,2,9,Mission,"(37.7691985477216, -122.417782938777)",163661226-RC3
163661167,65,16146700,Structure Fire,12/31/2016,12/31/2016,12/31/2016 10:53:10 AM,12/31/2016 10:53:10 AM,12/31/2016 10:55:24 AM,12/31/2016 10:55:29 AM,12/31/2016 11:00:06 AM,12/31/2016 11:16:26 AM,12/31/2016 11:30:15 AM,Code 2 Transport,12/31/2016 12:12:02 PM,MASONIC AV/HAIGHT ST,San Francisco,94117,B05,21,4466,3,3,3,true,Alarm,1,MEDIC,3,5,5,Haight Ashbury,"(37.7702101749203, -122.445344989178)",163661167-65
163661153,KM06,16146699,Medical Incident,12/31/2016,12/31/2016,12/31/2016 10:43:13 AM,12/31/2016 10:45:39 AM,12/31/2016 10:48:11 AM,12/31/2016 10:48:55 AM,12/31/2016 10:55:04 AM,12/31/2016 11:27:07 AM,12/31/2016 11:41:36 AM,Code 2 Transport,12/31/2016 12:16:47 PM,2700 Block of CLEMENT ST,San Francisco,94121,B07,14,7221,2,2,2,false,Potentially Life-Threatening,1,PRIVATE,1,7,1,Outer Richmond,"(37.781904591369, -122.488625014278)",163661153-KM06
163661151,T12,16146698,Structure Fire,12/31/2016,12/31/2016,12/31/2016 10:44:22 AM,12/31/2016 10:45:20 AM,12/31/2016 10:46:01 AM,12/31/2016 10:47:29 AM,,,,Fire,12/31/2016 10:49:30 AM,0 Block of SEWARD ST,San Francisco,94114,B06,24,5441,3,3,3,false,Alarm,1,TRUCK,5,6,8,Twin Peaks,"(37.7578541400241, -122.439363927978)",163661151-T12
163661151,T06,16146698,Structure Fire,12/31/2016,12/31/2016,12/31/2016 10:44:22 AM,12/31/2016 10:45:20 AM,12/31/2016 10:46:01 AM,12/31/2016 10:49:02 AM,12/31/2016 10:49:02 AM,,,Fire,12/31/2016 11:06:18 AM,0 Block of SEWARD ST,San Francisco,94114,B06,24,5441,3,3,3,false,Alarm,1,TRUCK,2,6,8,Twin Peaks,"(37.7578541400241, -122.439363927978)",163661151-T06
163661151,RS2,16146698,Structure Fire,12/31/2016,12/31/2016,12/31/2016 10:44:22 AM,12/31/2016 10:45:20 AM,12/31/2016 10:46:01 AM,,,,,Fire,12/31/2016 10:49:08 AM,0 Block of SEWARD ST,San Francisco,94114,B06,24,5441,3,3,3,false,Alarm,1,RESCUE SQUAD,9,6,8,Twin Peaks,"(37.7578541400241, -122.439363927978)",163661151-RS2
